"Total molecules (including duplicates)","strain_185","strain_188","strain_189","strain_191","strain_48"
58,5.414797,5.478433,5.508419,5.5641549999999995,4.655402
59,5.441927,5.5055235,5.5359704999999995,5.592118999999999,4.673462499999999
60,5.4685165,5.5320705,5.5629775,5.6195375,4.691096
61,5.4945794999999995,5.5580905,5.589453499999999,5.6464205,4.70832
62,5.520154499999999,5.5836035,5.615416,5.6727845,4.725147499999999
63,5.5452375,5.6086219999999996,5.640884499999999,5.698643499999999,4.741591
64,5.5698479999999995,5.633162,5.665871,5.7240174999999995,4.7576675
65,5.593996499999999,5.6572555,5.690389,5.7489215,4.773371
66,5.6177,5.6809009999999995,5.7144604999999995,5.773369499999999,4.7887325
67,5.640969,5.704111,5.738099,5.797378,4.8037589999999994
68,5.663819,5.7268965,5.7613129999999995,5.820961,4.8184645
69,5.68626,5.7492705,5.7841095,5.8441225,4.8328595
70,5.708304,5.7712465,5.806507,5.8668745,4.846953
71,5.729958,5.7928345,5.828513,5.889232499999999,4.8607439999999995
72,5.751233,5.814043,5.850140499999999,5.9112065,4.874249
73,5.7721535,5.8348875,5.8713809999999995,5.9328075,4.8874925
74,5.792730499999999,5.855376,5.892259,5.954044,4.900462
75,5.8129599999999995,5.8755185,5.9127855,5.9749285,4.913175
76,5.832852,5.895326,5.932975,5.9954695,4.925638999999999
77,5.8524069999999995,5.914807499999999,5.952831499999999,6.015675,4.9378614999999995
78,5.871643,5.933968,5.972364499999999,6.0355535,4.9498549
79,5.8905765,5.952814,5.991585,6.055115,4.961643099999999
80,5.9092185,5.971346,6.0104975,6.0743655,4.9732159000000005
81,5.927554499999999,5.9895805,6.029116999999999,6.093316499999999,4.984574599999999
82,5.94559,6.0075277,6.0474495,6.111981,4.9957254
83,5.963346,6.0251933,6.0655019999999995,6.1303575,5.0066622
84,5.980827,6.042584099999999,6.083278,6.1484535,5.0173983
85,5.9980497,6.0597069999999995,6.100782499999999,6.166278,5.0279428
86,6.0150194,6.0765684,6.1180235,6.183833,5.038299599999999
87,6.0317347,6.093174599999999,6.135006499999999,6.2011294999999995,5.0484657
88,6.048201499999999,6.1095315,6.151739,6.2181725,5.0584558
89,6.0644257,6.1256452,6.1682255,6.2349555,5.068274499999999
90,6.080409599999999,6.1415212,6.184470999999999,6.2514959999999995,5.077926499999999
91,6.0961585,6.1571641999999995,6.2004812,6.267799999999999,5.0874255
92,6.1116812,6.1725786,6.2162637,6.283884799999999,5.0967796
93,6.1269827999999995,6.1877713,6.2318175,6.2997435,5.1059802
94,6.1420682,6.2027472999999995,6.2471461999999995,6.3153805,5.1150310999999995
95,6.156930599999999,6.2175114,6.2622609,6.3308004,5.1239393
96,6.171581799999999,6.2320682,6.277166299999999,6.3460081,5.1327148
97,6.1860307,6.2464224,6.2918669000000005,6.3610069000000005,5.141351599999999
98,6.2002817,6.2605784,6.306367099999999,6.3757999000000005,5.1498494
99,6.214339,6.2745403,6.3206712,6.390394099999999,5.1582047
100,6.228206599999999,6.288312299999999,6.3347834,6.4047937,5.166431299999999
101,6.2418885,6.3019001999999995,6.3487077,6.4190027,5.1745324
102,6.2553887,6.3153149,6.362448,6.4330252,5.182511
103,6.268710799999999,6.3285514,6.376008099999999,6.4468649000000005,5.190370099999999
104,6.281858499999999,6.3416132,6.3893797,6.4605277999999995,5.1981125
105,6.2948353,6.3545039,6.4025772,6.474018099999999,5.205741099999999
106,6.3076447,6.367227,6.4156049,6.4873365,5.2132586
107,6.32029,6.3797859,6.428466299999999,6.5004865,5.220667499999999
108,6.3327746,6.3921836999999995,6.4411646,6.513471299999999,5.2279609
109,6.3451014,6.404423799999999,6.453703,6.526294099999999,5.2351212
110,6.357270799999999,6.416509,6.4660847,6.5389582,5.242172599999999
111,6.3692839,6.4284425999999995,6.4783126,6.5514665999999995,5.2491240999999995
112,6.3811482,6.4402272,6.490389799999999,6.5638222,5.255978099999999
113,6.3928666,6.4518659000000005,6.502319,6.576028,5.2627549
114,6.4044418,6.4633567,6.514103099999999,6.5880867,5.269441
115,6.415876599999999,6.4747087,6.525744799999999,6.600001099999999,5.2760194
116,6.4271736,6.4859074,6.5372467,6.6117639,5.282508099999999
117,6.4383352,6.4969792,6.5486115,6.623386099999999,5.2889291
118,6.4493642,6.5079187,6.5598415,6.634874099999999,5.295262599999999
119,6.4602628,6.518728299999999,6.570939299999999,6.6462289,5.3015238
120,6.4710334000000005,6.529412,6.581907299999999,6.657452299999999,5.3077065
121,6.4816784,6.539981099999999,6.592760299999999,6.6685467,5.313841
122,6.4922044,6.5504274,6.6034894,6.6795102,5.3198832
123,6.5026087,6.5607532,6.6141039,6.690342599999999,5.3258415999999995
124,6.5128895,6.570960599999999,6.6246008,6.7010524,5.3317262
125,6.5230526,6.5810515999999994,6.6349792999999995,6.7116416999999995,5.337538299999999
126,6.5330999,6.5910284,6.6452415,6.722112599999999,5.3432797
127,6.5430335,6.6008929,6.6553892999999995,6.7324672,5.3489227999999995
128,6.552855299999999,6.6106389,6.6654247,6.742707299999999,5.3544972
129,6.562555799999999,6.6202505,6.6753497,6.7528350999999995,5.3600238
130,6.5721567,6.629769099999999,6.685166,6.7628522,5.3655309
131,6.5816545,6.639206499999999,6.6948756,6.7727745,5.370975
132,6.5910592,6.6485419,6.7044801,6.7825939,5.3763362
133,6.6003614,6.657776999999999,6.7139814,6.792307999999999,5.3816372999999995
134,6.6095728,6.6669137,6.723381,6.801924499999999,5.3868911
135,6.6186861,6.6759355,6.7326806999999995,6.811445099999999,5.392061099999999
136,6.627689299999999,6.6848602999999995,6.7418822,6.820866,5.3971729
137,6.6365972,6.6936900999999995,6.7509868,6.830188799999999,5.4022273
138,6.645411299999999,6.7024264,6.759996299999999,6.8394099,5.4072249999999995
139,6.6541331999999995,6.711070599999999,6.7689122,6.8485162,5.4121667
140,6.6627644,6.7196244,6.777735799999999,6.8575267,5.4171040999999995
141,6.6713062,6.728089,6.786468599999999,6.866444799999999,5.421975799999999
142,6.6797602,6.7364659,6.7951122,6.8752699999999995,5.4267565
143,6.6881132999999995,6.7447564,6.803658799999999,6.8839957,5.431481799999999
